user_id,business_id,text,date,compliment_count
N9hqTPQu2bmI8c2Pj8F1ww,-0TffRSXXIlBYVbb5AwfTg,"If you signed up to get their emails, they'll send u a birthday free entree coupon! I just got mine!",2015-02-25 00:12:12,2
3pcLlMGnwIterSzPdo5EdA,-0TffRSXXIlBYVbb5AwfTg,Awesome Sunday Brunch with mimosa.,2021-11-25 01:30:59,0
TSDPfGvLh7pMcKWzRh9BQw,-0TffRSXXIlBYVbb5AwfTg,Deliciously spicy and flavor packed food!!,2021-04-06 19:03:51,0
wsowmVdJ1FK7ep6romvDFA,-0TffRSXXIlBYVbb5AwfTg,The place has a nice setting on the street. Food is amazing! Will come back,2020-10-02 22:41:52,0
JPhD3lECmXelDiaMDtzH1w,-0TffRSXXIlBYVbb5AwfTg,"Try the Malai Kofta Bukhara, it's yummy!",2017-03-29 01:03:50,0
yIa02pviLArEudZE45WDlQ,-1B9pP_CrRBJYPICE5WbRA,Awesome awesome all gokd,2021-10-01 17:45:30,0
ZWxPv6QGZokOw3HrbtyA3Q,-1B9pP_CrRBJYPICE5WbRA,Amazing and very delicious food!!!,2019-10-03 19:09:56,0
b2zYGwDdXzj2E9Wd7EVtvw,-1B9pP_CrRBJYPICE5WbRA,Always delicious. Good drinks.,2019-07-26 13:19:45,0
zYq2cFi2nuu6iWtRqV-aYg,-1B9pP_CrRBJYPICE5WbRA,"excellent pad thai! love this place. super fast, friendly service.",2019-07-23 21:55:55,0
D3V2KET7LQwGM0p8KNaYSg,-1B9pP_CrRBJYPICE5WbRA,So delicious and wonderful service,2018-08-12 03:08:35,0
ovS01jAmR82MZsFnQWGAgA,-ATiAtTikuGuqvaW2O6tNA,"Underwhelming Caesar salad, store bought dressing, shitty pregrated parm and croutons aren't homemade either. Suprise",2016-08-19 01:52:12,1
Qr4RnZdwqjrY9_abNPZo9A,-ATiAtTikuGuqvaW2O6tNA,"Burger is pretty good, but a little messy.",2012-08-23 17:21:33,1
FxoLr2-aEWLbse2cSNTIUQ,-ATiAtTikuGuqvaW2O6tNA,Sat for 30 minutes without being served on a Saturday evening,2022-01-09 00:09:29,0
ydYssrQWWXr2lRGkp1K59A,-ATiAtTikuGuqvaW2O6tNA,"Great food. Great service!
Always love coming here!",2021-11-16 23:07:02,0
nRJIamzgKnem5YIZAwYf3g,-ATiAtTikuGuqvaW2O6tNA,Great day to eat outside. Grilled vegetable salad with calamari.,2011-11-08 18:40:54,0
dcIMQveZpojXgPggygNDaw,-DGsnMlRrR_tv8avrpQLQw,Long ass lines. Some servers/ kitchen staff are also rude.,2016-02-14 06:01:29,1
cxIhpyGiO0dBufj7gMOzEg,-DGsnMlRrR_tv8avrpQLQw,Friendly staff. Frequent menu specials. And gluten free options!,2021-08-08 11:00:07,0
zUxAaduqHhUpR20NiRoHUQ,-DGsnMlRrR_tv8avrpQLQw,Lowered to 3 stars.  Political propaganda a distraction to the great breakfast.,2021-07-01 11:00:57,0
MuQhiK9Z7xIymRRcxJMojQ,-DGsnMlRrR_tv8avrpQLQw,"Cash only today. So disappointed, I wasn't carrying any cash on me or my ATM card (machine inside restaurant)",2021-06-30 13:33:36,0
BnWbK168RhNWimKrKcIqoQ,-DGsnMlRrR_tv8avrpQLQw,great food. bacon - great. ketchup - homemade. much good.,2014-09-01 17:55:23,0
qpgkVcB5fFA2dsfDSOvXXg,-OIUunijjcq_ZzyyQhPPFQ,Food was good and service was excellent.,2021-09-17 17:59:42,0
dP-3ao_1BjRD4I_c6WiChA,-OIUunijjcq_ZzyyQhPPFQ,"Expensive mediocre food. Underwhelming, especially for the price.",2020-07-12 14:14:14,0
iOKqjagLn7s_JEqZGpoBLQ,-OIUunijjcq_ZzyyQhPPFQ,"This place was delicious and not to mention so affordable, definitely must try!",2019-02-27 19:38:16,0
a_s_bJ2hFGvfcI8wXu_rOg,-OIUunijjcq_ZzyyQhPPFQ,I love this place .food and service is amazing,2018-07-14 22:09:29,0
LWuQdBn6vp0BFQiR2KEvbw,-OIUunijjcq_ZzyyQhPPFQ,Assorted grilled fish platter for two is awesome!,2015-10-19 19:23:24,0
dvnPfRwMjQDj1HxsAJiY1A,-Om8XgP9GZ4UUFbgTRI4YQ,Amazing heroes and cocktails. Great community place with outdoor seating too!,2021-09-29 01:43:32,0
qL23QCacF2u-rmL_WTVQjA,-Om8XgP9GZ4UUFbgTRI4YQ,"Smart business, great food",2021-08-03 03:06:13,0
J4YPRxcrEslnAuTREtiqCw,-Om8XgP9GZ4UUFbgTRI4YQ,Lovely meal on the patio. Service was a bit weird but the food was excellent,2019-08-25 15:07:24,0
WnTcAwKUu_C-1U5BTz36pA,-Om8XgP9GZ4UUFbgTRI4YQ,"Great beer selection, low light ambience and friendly bartenders!",2019-04-25 16:59:06,0
X7K-WWxvKyJVnVkCZvsBFg,-Om8XgP9GZ4UUFbgTRI4YQ,I came and you were closed :(,2016-02-18 00:40:33,0
qbvOxZ_UaprWkFVm-_PLrA,-Or44IdY51Ukd618kikmtA,"Cake donuts. They were good. Not wow, but worth trying.",2021-05-23 03:49:35,0
ULUa0fQawIzMX2SpcDT9-A,-Or44IdY51Ukd618kikmtA,Like the donuts and the chicken! It's a nice place.,2018-05-26 20:25:15,0
02yvfxM54YJ0UcLcP9CUwg,-Or44IdY51Ukd618kikmtA,Had my first donut today,2018-02-25 18:37:27,0
MGgWGBHEUkIOc3zc2xTKtQ,-Or44IdY51Ukd618kikmtA,Chicken starts at 11!!!!,2017-12-30 20:56:23,0
TQeZ3kKDj4qphLXEPfo9TA,-Or44IdY51Ukd618kikmtA,There's seating and parking at this location! Great fried chicken and donut with many different flavors,2017-09-23 19:50:50,0
vNf0dZhZH4-Uh-Q1j3TWUw,-RckAAIJ-_KH0AzqrekYuw,Good burgers & fries!!!,2020-12-06 05:56:00,0
2KZWNORQjyoT4P12bM0OZQ,-RckAAIJ-_KH0AzqrekYuw,Goof burger great price,2020-07-20 19:56:16,0
Lnv6mh-gRQ9jDFnswIQzyQ,-RckAAIJ-_KH0AzqrekYuw,Veggie burger is great,2019-02-25 17:38:04,0
Lnv6mh-gRQ9jDFnswIQzyQ,-RckAAIJ-_KH0AzqrekYuw,Try the vegetarian black bean burger,2018-11-11 17:08:50,0
fCvMnJU1Z-XhAjKg99wK3Q,-RckAAIJ-_KH0AzqrekYuw,From the the team behind HaveABurger in Havertown.,2018-04-10 13:25:12,0
oGHX5zHAcUd0hNbHo3eN1w,-RpUSbVtSGO9LZwMzGogww,"Great food, friendly staff, try to guava margarita delicious!!",2021-06-05 02:22:24,0
p-qfoLnFTJkoaJ9T4JZyBQ,-TW-0EqgnzUNHzV9VPSLoQ,like the ramen and smoothie here！nice and clean！,2021-10-10 02:15:57,0
